date,serial,total_death_missing,cause_of_death,collapsed_region,number_children,lon,lat,random
2015-04-18,2015.MMP00108,1022,Drowning,Mediterranean,,35.03,14.6777,0.6055156148788903
2014-12-31,2014.MMP00259,750,Mixed or unknown,South-eastern Asia,250,14.60759586,93.21449103,0.6255901262888828
2016-05-26,2016.MMP00485,550,Drowning,Mediterranean,40,33.050577,12.059376,0.3845463134535869
2014-09-12,2014.MMP00204,500,Drowning,Mediterranean,,33.9069,14.4141,0.992967852685934
2016-04-09,2016.MMP00364,459,Drowning,Mediterranean,1,31.5760031,25.164174,0.9577004943119873
2015-04-13,2015.MMP00099,400,Drowning,Mediterranean,,36.1734,17.572607,0.9178163572148306
2016-06-03,2016.MMP00517,339,Drowning,Mediterranean,,35.3445284,25.1847692,0.14475733842650174
2015-02-09,2015.MMP00043,307,Drowning,Mediterranean,,34.3616,12.9858,0.9933607394425279
2016-09-21,2016.MMP007463,288,Drowning,Mediterranean,1,31.4732818,30.3236402,0.7099017374247865
2016-05-25,2016.MMP00484,255,Drowning,Mediterranean,,32.7610231,12.6998943,0.27851215097116144
2014-03-22,2014.MMP00046,251,Drowning,Eastern Africa,,1.63236,31,0.5410527511667418
2014-08-24,2014.MMP00178,251,Drowning,Mediterranean,1,32.9212,13.7659,0.5049109340703077
2016-05-29,2016.MMP00494,245,Drowning,Mediterranean,,35.1025073,12.135376,0.5867781204420979
2015-03-31,2015.MMP00085,243,Mixed or unknown,South-eastern Asia,,17.64473,92.46209,0.9579382030936068
2014-06-27,2014.MMP00127,240,Drowning,Mediterranean,,34.6033,17,0.6278635653271603
2015-08-06,2015.MMP00283,227,Drowning,Mediterranean,2,34.289,12.7661,0.22087435202286954
2014-05-12,2014.MMP00086,217,Drowning,Mediterranean,3,34.7086,16,0.9602888311186089
2015-08-27,2015.MMP00341,202,Drowning,Mediterranean,,32.151074,16.360273,0.6603818319681514
2014-07-06,2014.MMP00137,198,Drowning,Mediterranean,2,32.9615,13,0.783382662142889
2014-07-19,2014.MMP00154,180,"Drowning,Mixed or unknown",Mediterranean,1,34.5821,14.2163,0.18578370764845675
2017-01-14,2017.MMP00039,176,Drowning,Mediterranean,,33.0953228,12.6489293,0.04054351912640253
2014-08-03,2014.MMP00170,172,Drowning,Mediterranean,1,33.499179,15.490763,0.8418573004575594
2021-08-27,2021.MMP00762,167,Violence,Southern Asia,,34.56611006,69.21110283,0.25427921190171454
2014-09-14,2014.MMP00208,164,Drowning,Mediterranean,1,33.5048,13.8702,0.9368766803538404
2017-05-19,2017.MMP00392,156,Drowning,Mediterranean,,33.10325838,13.03502391,0.7149164659244824
2019-07-25,2019.MMP01047,150,Drowning,Mediterranean,,32.83443272,14.624344026,0.14786362593442637
2020-10-24,2020.MMP00850,141,Drowning,Western Africa,,15.99567074,-16.7042898445,0.48812865739416145
2016-11-14,2016.MMP007640,135,Drowning,Mediterranean,,34.2533716,14.4988153,0.8413354105797914
2015-03-31,2015.MMP00086,130,Drowning,South-eastern Asia,,13.498141,89.487406,0.7829983447327165
2017-03-23,2017.MMP00260,130,Drowning,Mediterranean,,32.8158918,12.3980036,0.4418221733396579
2018-09-01,2018.MMP01102,130,Drowning,Mediterranean,20,32.7249214,14.34892307,0.538657967220207
2021-04-22,2021.MMP00284,130,Drowning,Mediterranean,,33.740667,13.626167,0.3703944068053824
2014-07-28,2014.MMP00162,128,Drowning,Mediterranean,,34.4666,14,0.5222179876537094
2016-11-02,2016.MMP007618,128,Drowning,Mediterranean,,34.2533716,14.4988153,0.1927618836963947
2017-06-15,2017.MMP00491,126,Drowning,Mediterranean,,32.15089731,17.73038778,0.9257617099101763
2015-12-31,2015.MMP00806,123,Mixed or unknown,North America,,29.81932753,-101.132282,0.8940041208734644
2022-09-22,2022.MMP1098,122,Drowning,Mediterranean,3,34.853756,35.856475,0.2564161762113675
2016-07-31,2016.MMP00726,120,Drowning,Mediterranean,,32.8094823,12.3944738,0.863841684867136
2017-08-30,2017.MMP00795,120,Drowning,Mediterranean,,33.45539395,11.52050212,0.16122630633153445
2017-02-19,2017.MMP00187,118,Drowning,Mediterranean,,32.74920163,14.33930942,0.7386971186908722
2019-01-18,2019.MMP00057,117,Drowning,Mediterranean,2,34.177488405,14.107902221,0.7611515861533478
2018-07-01,2018.MMP00798,114,Drowning,Mediterranean,3,32.97642418,14.44917331,0.4225848403051582
2017-05-07,2017.MMP00360,113,Drowning,Mediterranean,9,32.7812306,12.6964611,0.2400272631808804
2018-06-02,2018.MMP00623,112,Drowning,Mediterranean,,34.87422303,11.53622621,0.7125872076542168
2014-09-30,2014.MMP00261,111,Mixed or unknown,North America,,29.53547,-103.40325,0.945170506855223
2016-11-01,2016.MMP007615,111,Drowning,Mediterranean,3,30.8804954,16.3516697,0.9554977367844091
2020-09-21,2020.MMP00723,111,Drowning,Mediterranean,3,32.90538538,12.4611950736,0.6035658857171486
2014-07-14,2014.MMP00146,110,Drowning,Mediterranean,,33.6564,15,0.6441399814604643
2017-06-17,2017.MMP00501,110,Drowning,Mediterranean,,32.8622936,12.530664,0.8355833225812348
2015-05-25,2015.MMP00150,106,Violence,South-eastern Asia,,6.672991,100.178973,0.3431001336091417
2018-06-29,2018.MMP00788,104,Drowning,Mediterranean,3,33.20147523,13.18859172,0.5006808857569978
2016-11-16,2016.MMP007651,103,Drowning,Mediterranean,,34.2533716,14.4988153,0.09852359794998189
2021-12-17,2021.MMP0278,102,Drowning,Mediterranean,,32.92694,12.55682,0.6999410403929591
2018-06-19,2018.MMP00721,101,Drowning,Mediterranean,2,32.953662,12.875107,0.10233745165233099
2014-08-31,2014.MMP00190,100,Drowning,Mediterranean,,32.8879,14,0.7991090162060679
2015-05-15,2015.MMP00135,100,Violence,South-eastern Asia,,11.2878883,95.729982,0.5084485281336519
2015-07-15,2015.MMP00236,100,Drowning,Mediterranean,,32.86529572,13.092461,0.34942575807963516
2018-01-09,2018.MMP00018,100,Drowning,Mediterranean,,33.4612462,14.6304477,0.21133949421213893
2018-02-01,2018.MMP00119,100,Drowning,Mediterranean,2,33.2456355,12.2478292,0.5563507001441204
2019-08-19,2019.MMP01166,100,Drowning,Mediterranean,,32.927838556,12.35075364,0.07461097813343831
2016-11-15,2016.MMP007649,99,Drowning,Mediterranean,,34.2533716,14.4988153,0.6173345849789378
2016-10-26,2016.MMP007598,97,Drowning,Mediterranean,2,32.955844,13.2279444,0.6230777010503641
2017-04-13,2017.MMP00299,97,Drowning,Mediterranean,5,32.8629706,13.1215797,0.5623981726249971
2017-09-20,2017.MMP00911,97,Drowning,Mediterranean,,33.571206,12.39065145,0.48898038986659587
2022-04-02,2022.MMP0318,96,Drowning,Mediterranean,,33.40161512,15.396572,0.9271010961141204
2014-10-02,2014.MMP00219,95,Drowning,Mediterranean,,33.5963,14.6338,0.3392020419163475
2015-10-05,2015.MMP00469,95,Drowning,Mediterranean,,32.7873,12.7826,0.9345880875049288
2019-11-21,2019.MMP01656,94,Drowning,Mediterranean,,33.223177907,12.261505742,0.7868861131586977
2020-02-09,2020.MMP00146,91,Drowning,Mediterranean,,32.91616334,13.6974409258,0.36833290141171915
2016-03-30,2016.MMP00334,90,Drowning,Mediterranean,,32.7703544,12.376176,0.05078229570943327
2014-09-14,2014.MMP00207,88,Drowning,Mediterranean,,31.5253,29.6864,0.5092205185765026
2016-12-13,2016.MMP007755,87,Drowning,Mediterranean,,32.7610231,12.6998943,0.40869136309737697
2016-03-28,2016.MMP00327,84,Drowning,Mediterranean,,33.4165331,16.2301914,0.4028435393108194
2016-04-29,2016.MMP00408,84,Drowning,Mediterranean,,32.7703544,12.376176,0.5303573667959098
2019-12-20,2019.MMP01811,84,Mixed or unknown,North America,,27.5313645,-99.4284852,0.1088908246372855
2019-07-03,2019.MMP00900,83,"Drowning,Harsh environmental conditions / lack of adequate shelter, food, water",Mediterranean,1,33.618682017,11.4397119,0.08651687357766313
2017-05-07,2017.MMP00359,82,Drowning,Mediterranean,,35.5321535,12.7423968,0.7040773613532001
2017-05-26,2017.MMP00408,82,Drowning,Mediterranean,,34.11413452,13.01137899,0.5749120144637234
2021-08-31,2021.MMP00757,81,Drowning,Northern Africa,12,22.11104711,-16.75183311,0.07388250227938142
2014-05-06,2014.MMP00080,77,Drowning,Mediterranean,,32.6801,16,0.27725583578111057
2021-11-17,2021.MMP0182,77,Drowning,Mediterranean,,33.20428471,11.59477116,0.5773403459143347
2017-11-03,2017.MMP01091,76,Drowning,Mediterranean,,34.00014846,13.05352631,0.34914724865977553
2018-06-12,2018.MMP00685,76,Drowning,Mediterranean,1,33.30144056,12.5264264,0.5532520197395572
2022-05-24,2022.MMP0577,76,Drowning,Mediterranean,,34.59483841,11.188245,0.17449749705903872
2014-07-01,2014.MMP00131,75,Drowning,Mediterranean,,36.4317,15.8313,0.9085729168525705
2020-11-12,2020.MMP00927,75,Drowning,Mediterranean,,32.72261073,14.3317569322,0.4226449705280766
2017-02-20,2017.MMP00191,74,Drowning,Mediterranean,,32.7812306,12.6964611,0.627420205408068
2019-11-26,2019.MMP01698,73,Drowning,Mediterranean,3,36.2144014,-3.4195527,0.47143800306839
2015-08-27,2015.MMP00340,71,Vehicle accident / death linked to hazardous transport,Europe,4,48.2081743,16.373819,0.3108043768613613
2021-06-19,2021.MMP00458,71,Drowning,Northern Africa,,23.73506553,-16.0541794,0.38620421500059776
2016-01-30,2016.MMP00104,70,Drowning,Mediterranean,,37.0930737,11.8610189,0.6627081501840983
2018-06-19,2018.MMP00722,70,Drowning,Mediterranean,,32.95695106,13.08834147,0.01532632407900536
2019-01-29,2019.MMP00121,70,Drowning,Eastern Africa,2,11.903581356,43.332109916,0.3461085688637122
2019-11-29,2019.MMP01707,70,Drowning,Mediterranean,10,34.733997112,14.773974825,0.263272630914797
2020-04-15,2020.MMP00274,70,Mixed or unknown,Southern Asia,,11.2878883,95.7299821,0.8686945683922924
2017-01-24,2017.MMP00101,68,Drowning,Caribbean,,21.6530791,-72.0586737,0.18141159042371857
2017-03-21,2017.MMP00257,68,Drowning,Mediterranean,,32.8938676,12.2050495,0.18341874054614982
2017-10-03,2017.MMP00967,68,Drowning,Mediterranean,,33.43557776,13.21331096,0.1482981193205677
2021-06-03,2021.MMP0331,67,Drowning,Northern Africa,,33.01479981,12.54897854,0.16965062088260674
2022-05-23,2022.MMP0587,67,Drowning,South-eastern Asia,2,17.962247185449,94.070537344256,0.82600531784217
2019-11-20,2019.MMP01654,65,Drowning,Mediterranean,15,33.180613511,13.234062537,0.4295961790124927
2020-02-11,2020.MMP00151,65,Drowning,South-eastern Asia,,20.62715573,92.3416861887,0.02310224978169506
2021-03-18,2021.MMP00221,65,Drowning,Mediterranean,,33.06688277,12.20001073,0.37566679504514355
2014-08-31,2014.MMP00194,64,Mixed or unknown,Central America,,19.1452,-101.074,0.6987323709633799
2014-10-02,2014.MMP00218,64,Drowning,Eastern Africa,,12.7047,49.4824,0.5325209477518604
2018-01-06,2018.MMP00013,64,Mixed or unknown,Mediterranean,5,34.0783805,13.2682426,0.005413678015699475
2020-03-24,2020.MMP00241,64,Accidental death,Eastern Africa,,-16.1328104,33.6063855,0.8971650509549169
2017-09-28,2017.MMP00943,63,Drowning,South-eastern Asia,15,21.07364858,92.12917961,0.5488997902358261
2020-07-18,2020.MMP00466,63,Drowning,Northern Africa,1,27.98848252,-12.9571841479,0.10431432129471285
2014-05-31,2014.MMP00096,62,Drowning,Eastern Africa,,12.5331,48,0.16336112672295222
2018-06-06,2018.MMP00647,62,Drowning,Western Asia,,13.29406315,48.55070634,0.42554276970967186
2019-12-04,2019.MMP01718,62,Drowning,Western Africa,,20.9948426,-17.0083748,0.6824736642588256
2020-06-28,2020.MMP00410,62,Drowning,Western Asia,1,38.51877482,42.9422829997,0.42066766587538984
2015-09-03,2015.MMP00367,61,Drowning,South-eastern Asia,1,4.155698697,103.447934,0.8662329986316966
2016-12-23,2016.MMP007810,61,Drowning,Mediterranean,,32.7610231,12.6998943,0.7501461415021682
2018-09-03,2018.MMP01106,61,Drowning,Mediterranean,,35.75212334,-4.375363247,0.133208913802785
2020-06-09,2020.MMP00362,61,Drowning,Mediterranean,4,34.7205723,11.1407184,0.9237721633562281
2021-12-18,2021.MMP0279,61,Drowning,Mediterranean,,32.87826278,12.4675193,0.750862177224972
2015-06-01,2015.MMP00169,60,Mixed or unknown,South-eastern Asia,,10.010819,94.999996,0.18946875850652178
2015-08-11,2015.MMP00292,60,Drowning,Mediterranean,,37.8998228,15.444212,0.5540095479077534
2016-11-02,2016.MMP007617,60,Drowning,South-eastern Asia,1,-1.4674013,123.0062604,0.006368177451427481
2017-06-10,2017.MMP00472,60,Drowning,Mediterranean,2,33.74674152,12.90189454,0.36989443551504864
2017-06-30,2017.MMP00578,60,Drowning,Mediterranean,,36.0020933,12.0404865,0.6363423133435182
2019-07-02,2019.MMP00892,60,Drowning,Mediterranean,,33.044740043,12.716964857,0.6422074474868842
2022-03-04,2022.MMP00160,60,Drowning,Mediterranean,,35.62426273,11.260797,0.12277699990274082
2020-09-24,2020.MMP01065,59,Drowning,Northern Africa,,26.67221264,-14.3408864121,0.03574075904121021
2016-12-22,2016.MMP007808,58,Mixed or unknown,Mediterranean,,36.756978,11.9928794,0.7681922943765676
2015-01-29,2015.MMP00031,57,Drowning,South-eastern Asia,,17.61569445,93.010777,0.8813356950826572
2016-02-07,2016.MMP00134,57,"Drowning,Harsh environmental conditions / lack of adequate shelter, food, water",Northern Africa,,26.9455294,-15.5943805,0.31707360475990165
2016-05-13,2016.MMP00437,57,Drowning,Northern Africa,,26.3910415,-16.4101361,0.22230855967285246
2017-05-27,2017.MMP00417,57,Drowning,Mediterranean,7,34.4968003,14.8203836,0.05166334542872253
2019-05-10,2019.MMP00609,57,Drowning,Mediterranean,,34.643922078,11.321992814,0.3118850612784525
2019-10-19,2019.MMP01499,57,Drowning,Mediterranean,,33.208868544,13.158074047,0.828676085465565
2021-05-17,2021.MMP00336,57,Drowning,Mediterranean,,34.15134555,11.75184166,0.4104875834700705
2021-07-26,2021.MMP00570,57,Drowning,Mediterranean,2,32.66494504,14.27642337,0.1042862437477241
2021-09-30,2021.MMP00810,57,"Harsh environmental conditions / lack of adequate shelter, food, water",Northern Africa,12,23.94619731,-15.85483798,0.8977590614750006
2015-10-28,2015.MMP00565,56,Drowning,Mediterranean,20,39.3856462,26.216722,0.3357831417868904
2019-12-16,2019.MMP01786,56,Drowning,Mediterranean,,35.763981352,-3.27314123,0.030342337104078743
2021-04-26,2021.MMP00279,56,"Harsh environmental conditions / lack of adequate shelter, food, water",Northern Africa,2,23.447654,-18.151759,0.028875419034757543
2021-12-09,2021.MMP0260,56,Vehicle accident / death linked to hazardous transport,Central America,,16.74175537,-93.03719285,0.7505365802078681
2022-11-01,2022.MMP1247,56,Drowning,Mediterranean,5,37.97500011,24.62068,0.6802738223166431
2014-07-19,2014.MMP00152,55,Drowning,Mediterranean,,31.5818,31,0.41822048235039033
