date,year,serial,total_death_missing,cause_of_death,collapsed_cause,collapsed_region,number_children,lon,lat,random
2015-04-18,2015,2015.MMP00108,1022,Drowning,Drowning,Mediterranean,,14.6777,35.03,0.6931922761749341
2014-12-31,2014,2014.MMP00259,750,Mixed or unknown,Mixed or unknown,South-eastern Asia,250,93.21449103,14.60759586,0.29563019841196225
2016-05-26,2016,2016.MMP00485,550,Drowning,Drowning,Mediterranean,40,12.059376,33.050577,0.1267929604061786
2014-09-12,2014,2014.MMP00204,500,Drowning,Drowning,Mediterranean,,14.4141,33.9069,0.5642309300762602
2016-04-09,2016,2016.MMP00364,459,Drowning,Drowning,Mediterranean,1,25.164174,31.5760031,0.5997869199568469
2015-04-13,2015,2015.MMP00099,400,Drowning,Drowning,Mediterranean,,17.572607,36.1734,0.9163855531256404
2016-06-03,2016,2016.MMP00517,339,Drowning,Drowning,Mediterranean,,25.1847692,35.3445284,0.4586480432845985
2015-02-09,2015,2015.MMP00043,307,Drowning,Drowning,Mediterranean,,12.9858,34.3616,0.2318649261403285
2016-09-21,2016,2016.MMP007463,288,Drowning,Drowning,Mediterranean,1,30.3236402,31.4732818,0.4946856555227339
2016-05-25,2016,2016.MMP00484,255,Drowning,Drowning,Mediterranean,,12.6998943,32.7610231,0.954000347334302
2014-03-22,2014,2014.MMP00046,251,Drowning,Drowning,Eastern Africa,,31,1.63236,0.07078348817610092
2014-08-24,2014,2014.MMP00178,251,Drowning,Drowning,Mediterranean,1,13.7659,32.9212,0.6604113325081837
2016-05-29,2016,2016.MMP00494,245,Drowning,Drowning,Mediterranean,,12.135376,35.1025073,0.31259211536132225
2015-03-31,2015,2015.MMP00085,243,Mixed or unknown,Mixed or unknown,South-eastern Asia,,92.46209,17.64473,0.40004722827613004
2014-06-27,2014,2014.MMP00127,240,Drowning,Drowning,Mediterranean,,17,34.6033,0.7668872768268453
2015-08-06,2015,2015.MMP00283,227,Drowning,Drowning,Mediterranean,2,12.7661,34.289,0.8234564370238919
2014-05-12,2014,2014.MMP00086,217,Drowning,Drowning,Mediterranean,3,16,34.7086,0.6699038272055446
2015-08-27,2015,2015.MMP00341,202,Drowning,Drowning,Mediterranean,,16.360273,32.151074,0.4268965409622132
2014-07-06,2014,2014.MMP00137,198,Drowning,Drowning,Mediterranean,2,13,32.9615,0.990392718958879
2014-07-19,2014,2014.MMP00154,180,"Drowning,Mixed or unknown","Drowning,Mixed or unknown",Mediterranean,1,14.2163,34.5821,0.9955923945963112
2017-01-14,2017,2017.MMP00039,176,Drowning,Drowning,Mediterranean,,12.6489293,33.0953228,0.4126917873770699
2014-08-03,2014,2014.MMP00170,172,Drowning,Drowning,Mediterranean,1,15.490763,33.499179,0.13563632535743375
2021-08-27,2021,2021.MMP00762,167,Violence,Violence,Southern Asia,,69.21110283,34.56611006,0.7703773716615012
2014-09-14,2014,2014.MMP00208,164,Drowning,Drowning,Mediterranean,1,13.8702,33.5048,0.5462633351187893
2017-05-19,2017,2017.MMP00392,156,Drowning,Drowning,Mediterranean,,13.03502391,33.10325838,0.9685940485075994
2019-07-25,2019,2019.MMP01047,150,Drowning,Drowning,Mediterranean,,14.624344026,32.83443272,0.1444959255803724
2020-10-24,2020,2020.MMP00850,141,Drowning,Drowning,Western Africa,,-16.7042898445,15.99567074,0.779212364489154
2016-11-14,2016,2016.MMP007640,135,Drowning,Drowning,Mediterranean,,14.4988153,34.2533716,0.4788788048174786
